"reporting_date","platform","channel_group","total_cost_usd"
"11/26/2016","android","Iron Source App Install",0
"11/26/2016","ios","BBM App Install",69.6
"11/26/2016","android","UAC App Install",0
"11/26/2016","ios","Facebook App Install",145.36
"11/26/2016","android","Instagram App Install",0
"11/26/2016","android","BBM App Install",640.8
"11/26/2016","android","Facebook DPA",0
"11/26/2016","android","Glispa App Install",531.3
"11/26/2016","ios","Instagram App Install",0
"11/26/2016","ios","Facebook DPA",0
"11/26/2016","ios","UAC App Install",0
"11/26/2016","ios","inMobi App Install",0
"11/26/2016","android","inMobi App Install",3061.8
"11/25/2016","android","UAC App Install",0
"11/25/2016","android","inMobi App Install",3245.2
"11/25/2016","ios","Facebook DPA",0
"11/25/2016","android","Instagram App Install",0
"11/25/2016","ios","Instagram App Install",0
"11/25/2016","android","Glispa App Install",151.8
"11/25/2016","ios","GDN App Install",2319.33
"11/25/2016","android","Facebook App Install",2730.23
"11/25/2016","ios","UAC App Install",0
"11/25/2016","ios","inMobi App Install",0
"11/25/2016","android","GDN App Install",6020.43
"11/25/2016","android","BBM App Install",596.4
"11/25/2016","android","Facebook DPA",0
"11/25/2016","ios","Facebook App Install",129.09
"11/25/2016","ios","BBM App Install",55.2
"11/25/2016","android","Iron Source App Install",0.9
"11/24/2016","android","Facebook DPA",0
"11/24/2016","ios","Facebook App Install",140.97
"11/24/2016","android","UAC App Install",0
"11/24/2016","ios","GDN App Install",2380.91
"11/24/2016","ios","BBM App Install",39.6
"11/24/2016","android","Instagram App Install",0
"11/24/2016","android","GDN App Install",6108.19
"11/24/2016","ios","inMobi App Install",0
"11/24/2016","android","Facebook App Install",2671.19
"11/24/2016","ios","Facebook DPA",0
"11/24/2016","ios","UAC App Install",0
"11/24/2016","android","Iron Source App Install",8.1
"11/24/2016","ios","Instagram App Install",0
"11/24/2016","android","BBM App Install",460.8
"11/24/2016","android","inMobi App Install",3318
"11/24/2016","android","Glispa App Install",114.4
"11/23/2016","android","GDN App Install",6135.37
"11/23/2016","android","Iron Source App Install",26.1
"11/23/2016","android","Facebook App Install",2611.61
"11/23/2016","android","UAC App Install",0
"11/23/2016","ios","inMobi App Install",0
"11/23/2016","ios","Facebook App Install",120.02
"11/23/2016","ios","GDN App Install",2435.56
"11/23/2016","android","BBM App Install",684
"11/23/2016","ios","UAC App Install",0
"11/23/2016","android","inMobi App Install",3612
"11/23/2016","android","Facebook DPA",0
"11/23/2016","android","Instagram App Install",0
"11/23/2016","ios","BBM App Install",49.2
"11/23/2016","android","Glispa App Install",189.2
"11/23/2016","ios","Facebook DPA",0
"11/22/2016","android","UAC App Install",0
"11/22/2016","android","inMobi App Install",3025.4
"11/22/2016","ios","inMobi App Install",0
"11/22/2016","android","Iron Source App Install",41.4
"11/22/2016","ios","GDN App Install",2411.84
"11/22/2016","android","Glispa App Install",212.3
"11/22/2016","android","GDN App Install",6295.43
"11/22/2016","ios","Facebook App Install",122.18
"11/22/2016","android","Facebook DPA",0
"11/22/2016","android","BBM App Install",775.2
"11/22/2016","ios","BBM App Install",64.8
"11/22/2016","android","Facebook App Install",2659.44
"11/22/2016","ios","UAC App Install",0
"11/22/2016","android","Instagram App Install",0
"11/22/2016","ios","Facebook DPA",0
"11/21/2016","android","Glispa App Install",239.8
"11/21/2016","ios","UAC App Install",0
"11/21/2016","android","Instagram App Install",0
"11/21/2016","ios","GDN App Install",2371.74
"11/21/2016","android","inMobi App Install",2644.6
"11/21/2016","ios","Instagram App Install",0
"11/21/2016","ios","BBM App Install",48
"11/21/2016","android","GDN App Install",6284.01
"11/21/2016","ios","Facebook DPA",0
"11/21/2016","android","Facebook DPA",0
